datetime,Acanthoica_quattrospina,Akashiwo,Alexandrium_catenella,Amphidinium,Amylax,Apedinella,Asterionellopsis_glacialis,Bacillaria,Bacillariophyceae,Bacteriastrum,Balanion,Biddulphia,Calciopappus,Calciosolenia_brasiliensis,Cerataulina_pelagica,Ceratium,Ceratium_furca,Ceratium_fusus,Ceratium_lineatum,Chaetoceros,Chaetoceros_danicus,Chaetoceros_didymus,Chaetoceros_didymus_TAG_external_flagellate,Chaetoceros_peruvianis,Chaetoceros_similis,Chaetoceros_socialis,Chaetoceros_subtilis,Chaetoceros_tenuissimus,Chaetoceros_throndsenii,Chroomonas,Chrysochromulina,Chrysochromulina_lanceolata,Corethron_hystrix,Corymbellus,Coscinodiscus,Cylindrotheca,Cylindrotheca_min,Dactyliosolen_blavyanus,Dactyliosolen_fragilissimus,Delphineis,Dictyocha,Dictyocysta,Didinium,Dinobryon,Dinophyceae,Dinophysis_acuminata,Dinophysis_norvegica,Dinophysis_tripos,Ditylum_brightwellii,Emiliania_huxleyi,Ephemera,Eucampia,Eucampia_morphytype1,Euglena,Euplotes,Euplotes_morphotype1,Eutintinnus,Favella,Gonyaulax,Guinardia_delicatula,Guinardia_delicatula_TAG_Amphidinium_grazing,Guinardia_delicatula_TAG_external_parasite,Guinardia_delicatula_TAG_internal_parasite,Guinardia_flaccida,Guinardia_striata,Gyrodinium,Hemiaulus,Hemiaulus_membranaceus,Heterocapsa_rotundata,Heterocapsa_triquetra,Karenia,Katodinium_or_Torodinium,Laboea_strobila,Lauderia_annulata,Leegaardiella_ovalis,Leptocylindrus,Leptocylindrus_mediterraneus,Licmophora,Margalefidinium,Mesodinium,Nanoneis,Odontella,Ophiaster,Oxytoxum,Paralia_sulcata,Parvicorbicula_socialis,Phaeocystis,Phaeocystis_single,Pleuronema,Pleurosigma,Polykrikos,Prorocentrum,Prorocentrum_micans,Prorocentrum_triestinum,Proterythropsis,Protoperidinium,Pseudo-nitzschia,Pseudochattonella_farcimen,Pyramimonas,Pyramimonas_longicauda,Pyramimonas_morphotype1,Radiozoa,Rhabdosphaera,Rhizosolenia,Scrippsiella,Skeletonema,Stenosemella_morphotype1,Stenosemella_pacifica,Stephanopyxis,Strobilidium,Strombidium_capitatum,Strombidium_conicum,Strombidium_inclinatum,Strombidium_morphotype1,Strombidium_morphotype2,Strombidium_oculatum,Strombidium_wulffi,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Thalassiosira_TAG_external_detritus,Thalassiosira_sp_aff_mala,Tiarina_fusus,Tintinnida,Tintinnidium_mucicola,Tintinnopsis,Tontonia_appendiculariformis,Tontonia_gracillima,Vicicitus_globosus,Warnowia,amoeba,ciliate,coccolithophorid,cryptophyta,flagellate,flagellate_morphotype1,flagellate_morphotype3,pennate,pennate_Thalassionema,pennate_morphotype1,pollen,shellfish_larvae,square_unknown,unknown2,zooplankton
2021-05-04 11:19:24+00:00,0,0,0,0,0,3,0,0,92,0,33,0,7,0,3,0,7,0,1,84,1,1,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,2,1,0,91,0,0,28,1,1,0,3,0,0,0,0,1,0,0,2,0,1,7,677,0,0,0,0,0,0,0,2,14,0,157,0,0,0,0,9,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,2,1,6,9,56,62,0,35,3,0,0,0,0,6,2,1
2021-05-04 11:43:45+00:00,0,0,0,0,0,0,0,0,83,0,73,0,2,0,4,0,4,0,0,78,0,4,0,0,0,4,0,6,0,0,4,1,1,0,0,0,0,4,1,0,0,0,0,0,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,102,0,0,31,2,2,0,2,0,0,0,0,1,0,2,8,0,0,2,872,0,0,0,0,0,0,0,1,11,0,160,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,1,0,0,1,0,0,2,3,5,8,50,96,0,43,2,0,0,0,0,21,1,1
2021-05-04 12:08:06+00:00,0,0,0,0,0,1,0,0,64,0,84,0,5,0,1,0,0,0,0,73,0,1,0,0,0,1,0,11,1,0,3,0,0,1,0,2,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,0,1,14,4,1,0,1,0,0,0,0,0,0,0,5,0,0,3,1220,0,0,0,0,0,0,0,1,2,0,219,0,2,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,4,0,0,0,0,1,0,0,0,8,4,6,47,117,0,46,2,0,0,0,0,14,1,1
2021-05-04 12:32:27+00:00,0,0,1,0,0,0,0,0,70,1,68,0,3,0,0,0,4,0,0,54,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,53,0,0,27,0,0,0,1,0,0,0,0,0,0,2,4,0,0,6,1677,0,0,0,0,0,0,0,1,4,0,223,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,5,0,0,0,0,1,0,0,0,4,2,1,56,95,0,38,5,0,0,0,0,15,0,0
2021-05-04 12:56:48+00:00,1,0,0,0,0,1,0,0,32,0,82,0,3,0,1,0,2,0,0,58,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,53,0,0,24,5,1,1,1,0,0,0,1,0,0,0,6,0,1,2,1793,0,0,1,0,0,0,1,1,3,0,216,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,1,0,0,0,1,5,2,33,112,0,37,3,0,0,0,0,16,1,0
2021-05-04 13:21:09+00:00,0,0,0,0,0,1,1,0,57,0,80,0,0,0,1,0,2,0,0,64,0,4,0,0,0,7,0,13,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,1,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,21,0,2,0,0,0,1,0,0,0,0,3,3,0,1,6,1627,0,0,0,0,0,0,0,0,3,0,152,0,0,0,1,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,15,1,4,0,0,0,0,0,0,0,0,4,4,5,38,75,0,28,1,0,0,0,0,10,4,1
2021-05-04 13:45:30+00:00,1,0,0,0,0,1,0,0,55,0,88,0,6,0,0,0,0,0,0,65,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,33,0,0,21,7,0,0,0,0,0,0,0,1,0,1,3,0,0,1,1401,0,0,1,0,0,0,0,1,3,0,204,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,6,2,3,42,114,0,33,0,0,0,0,0,23,1,0
2021-05-04 14:09:51+00:00,1,0,0,0,1,0,0,0,64,0,56,0,2,0,3,0,0,0,0,58,0,1,0,0,0,0,0,12,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0,0,15,2,2,0,0,0,0,0,0,1,0,0,1,0,0,4,1204,0,0,0,0,0,0,0,0,3,0,206,0,2,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,10,2,0,27,115,0,21,3,0,0,0,0,14,0,0
2021-05-04 14:34:12+00:00,0,0,0,0,0,0,0,0,36,0,55,0,5,0,3,0,1,0,0,73,0,2,0,0,0,3,0,8,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53,0,0,19,3,1,0,0,0,0,0,1,1,0,1,2,0,0,1,1418,0,0,0,0,0,0,0,0,3,0,206,0,1,0,0,3,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,5,2,2,29,103,0,38,5,0,0,0,0,7,0,1
2021-05-04 14:58:33+00:00,1,0,0,0,0,2,0,0,18,0,27,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,307,0,0,0,0,0,0,0,0,1,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,33,0,5,0,0,0,0,0,8,0,1
